qwp_angle_deg,hwp_angle_deg,max_power_uw,max_power_angle_deg,power_max_angle_plus_45,angle_power_max_plus_45,min_power_uw,min_power_angle_deg,power_min_angle_plus_45,angle_power_min_plus_45,handedness 
NaN,220,25,144,10,201,0.175,239,13.3,284,1
NaN,300,25,168,12.3,213,0.04,259,11.5,304,1
NaN,310,20.6,149,10.7,194,0.12,241,10,286,1
NaN,320,23,130,9.2,175,0.17,218,10.3,263,1
NaN,330,26,108,14,153,0.26,200,13,245,1
NaN,340,26,90,12.2,135,0.08,178,12.7,223,1
NaN,350,24,71,9.7,116,0.04,160,10.7,205,1
NaN,360,21.2,55,7.0,102,0.06,140,9.6,185,1
NaN,10,26,19,18.4,64,0.23,121,13.5,166,1
NaN,20,18.7,358,13,43,0.2,100,9.8,145,1
NaN,20,25,0,17,45,0.24,101,13.7,146,1
NaN,30,23,351,11.5,36,0.09,78,9.2,123,1
NaN,40,25,321,8.9,16,0.045,59,9.6,104,1
NaN,50,24,304,11.1,349,0.025,40,9.4,85,1
NaN,60,26,291,11.9,336,0.142,21,14.4,66,1
NaN,305,23.4,159,11.9,204,0.050,249,11.7,294,1
NaN,315,24.2,138,11.6,183,0.19,228,12.4,273,1
NaN,325,22.6,115,12.7,160,0.2,210,12.7,255,1
NaN,335,22.7,95,13.2,140,0.14,188,11.3,233,1
NaN,345,18.1,78,11.7,123,0.035,169,11.7,214,1
NaN,355,24.4,61,11.2,106,0.037,150,12.5,195,1
NaN,5,23.7,37,11.5,82,0.105,131,9.1,176,1
NaN,15,25.3,14,14.6,59,0.14,109,8.9,154,1
NaN,25,18.3,0,9.4,45,0.157,91,8.9,136,1
