qwp_angle_deg,hwp_angle_deg,max_power_uw,max_power_angle_deg,power_max_angle_plus_45,angle_power_max_plus_45,min_power_uw,min_power_angle_deg,power_min_angle_plus_45,angle_power_min_plus_45,handedness 
NaN,300,16.3,171,7.9,216,0.017,258,7.4,303,1
NaN,310,13.8,147,6.9,192,0.14,239,7.0,284,1
NaN,320,13.0,126,7.2,171,0.22,215,6.2,260,1
NaN,330,13.1,102,8.6,147,0.26,196,6.9,241,1
NaN,340,14.5,82,7.5,127,0.1,175,6.7,220,1
NaN,350,13.1,66,7.4,111,0.04,157,7.0,202,1
NaN,0,14.3,48,7.9,93,0.028,135,9.5,180,1
NaN,10,16.6,26,9.1,71,0.024,117,7.9,162,1
NaN,20,17.7,9,7.5,54,0.055,96,6.8,141,1
NaN,30,17.2,355,4.9,40,0.204,75,7.2,120,1
NaN,295,13.3,179,6.1,224,0.015,267,7.0,312,1
NaN,305,13.2,155,7.1,200,0.06,247,6.9,292,1
NaN,315,15.7,140,7.7,185,0.24,225,6.6,270,1
NaN,325,13.0,116,6.6,161,0.224,207,7.5,252,1
NaN,335,13.4,94,7.7,139,0.145,185,9.1,230,1
NaN,345,17,79,7.9,124,0.072,167,9.5,212,1
NaN,355,12.8,56,6.7,101,0.018,146,7.2,191,1
NaN,5,16.8,26,11.8,71,0.026,124,8.4,169,1
NaN,15,16.8,18,7.8,63,0.037,106,9.0,151,1
NaN,25,17.1,358,8.0,43,0.131,88,9.5,133,1
NaN,35,17.2,334,9.7,19,0.317,78,12.3,123,1
