S121C	2019-03-12 03:45:01
value unit [W]	time unit [ms]
wavelength	1083.000nm
range	AUTO
7.164288E-02	165
7.163747E-02	465
7.166278E-02	765
7.171465E-02	1065
7.180431E-02	1365
7.185852E-02	1665
7.187993E-02	1965
7.195115E-02	2265
7.194480E-02	2565
7.200433E-02	2865
7.199495E-02	3165
7.201215E-02	3465
7.205041E-02	3765
7.206603E-02	4065
7.216183E-02	4365
7.229368E-02	4665
7.262443E-02	4965
7.291682E-02	5265
7.343546E-02	5565
7.380001E-02	5865
7.433020E-02	6165
7.484712E-02	6465
7.543568E-02	6765
7.624137E-02	7065
7.717803E-02	7365
7.817749E-02	7665
7.924838E-02	7965
8.050237E-02	8265
8.163467E-02	8565
8.266116E-02	8865
8.378127E-02	9165
8.464202E-02	9465
8.548333E-02	9765
8.628269E-02	10065
8.694781E-02	10365
8.734872E-02	10665
8.779558E-02	10965
8.828064E-02	11265
8.848403E-02	11565
8.810180E-02	11865
8.853830E-02	12165
8.786917E-02	12465
8.819770E-02	12765
8.865477E-02	13065
8.841133E-02	13365
8.798305E-02	13665
8.825612E-02	13965
8.895937E-02	14265
8.838440E-02	14565
8.862738E-02	14865
8.877896E-02	15165
8.777263E-02	15465
8.755074E-02	15765
8.819219E-02	16065
8.889070E-02	16365
8.905376E-02	16665
8.854754E-02	16965
8.849540E-02	17265
8.835559E-02	17565
8.837958E-02	17865
8.864997E-02	18165
8.816441E-02	18465
8.840109E-02	18765
8.817666E-02	19065
8.807599E-02	19365
8.824739E-02	19665
8.827583E-02	19965
8.835617E-02	20265
8.783852E-02	20565
8.820052E-02	20865
8.799261E-02	21165
8.730380E-02	21465
8.742260E-02	21765
8.735360E-02	22065
8.689589E-02	22366
8.665885E-02	22666
8.627679E-02	22966
8.615622E-02	23266
8.578876E-02	23566
8.550147E-02	23866
8.515439E-02	24166
8.480925E-02	24466
8.451419E-02	24766
8.420452E-02	25066
8.395727E-02	25366
8.376326E-02	25666
8.352409E-02	25966
8.330432E-02	26266
8.314512E-02	26566
8.298335E-02	26866
8.286366E-02	27166
8.276371E-02	27466
8.269347E-02	27766
8.259073E-02	28066
8.260079E-02	28366
8.254775E-02	28666
8.241306E-02	28966
8.235389E-02	29266
8.216194E-02	29566
8.205867E-02	29866
8.197917E-02	30169
8.189820E-02	30469
8.189943E-02	30769
8.186148E-02	31069
8.186959E-02	31369
8.191174E-02	31676
8.209421E-02	31978
8.241522E-02	32278
8.269473E-02	32578
8.308033E-02	32878
8.322706E-02	33178
8.350179E-02	33478
8.359290E-02	33778
8.381025E-02	34078
8.382320E-02	34378
8.393109E-02	34678
8.404712E-02	34978
8.411635E-02	35278
8.420413E-02	35578
8.421814E-02	35878
8.430199E-02	36178
8.439211E-02	36478
8.456519E-02	36778
8.472891E-02	37078
8.484667E-02	37378
8.497036E-02	37678
8.505637E-02	37980
8.510846E-02	38280
8.492958E-02	38580
8.486915E-02	38880
8.483899E-02	39180
8.479134E-02	39480
8.462620E-02	39780
8.439926E-02	40080
8.429639E-02	40380
8.413859E-02	40680
8.408698E-02	40980
8.400596E-02	41280
8.392482E-02	41580
8.396559E-02	41880
8.390929E-02	42180
8.392899E-02	42480
8.397636E-02	42780
8.385749E-02	43080
8.371390E-02	43380
8.354151E-02	43680
8.334298E-02	43980
8.295210E-02	44280
8.262598E-02	44580
8.221041E-02	44880
8.171812E-02	45180
8.127039E-02	45481
8.075450E-02	45781
8.026709E-02	46081
7.988128E-02	46381
7.945928E-02	46681
7.909894E-02	46981
7.880381E-02	47281
7.846512E-02	47581
7.830252E-02	47881
7.815842E-02	48181
7.806259E-02	48481
7.794090E-02	48781
7.780503E-02	49081
7.783881E-02	49381
7.785792E-02	49681
7.795044E-02	49981
7.806288E-02	50281
7.815555E-02	50581
7.839881E-02	50881
7.860712E-02	51181
7.883547E-02	51481
7.911637E-02	51781
7.933791E-02	52081
7.953802E-02	52381
7.968940E-02	52681
7.984182E-02	52981
8.009213E-02	53283
8.027854E-02	53583
8.037484E-02	53883
8.022820E-02	54183
8.016904E-02	54483
7.993277E-02	54783
7.983774E-02	55083
7.953520E-02	55383
7.932509E-02	55683
7.913110E-02	55983
7.898252E-02	56283
7.889879E-02	56583
7.882565E-02	56883
7.880729E-02	57183
7.883258E-02	57483
7.881528E-02	57783
7.894754E-02	58083
7.899641E-02	58383
7.909001E-02	58683
7.911064E-02	58983
7.908781E-02	59283
7.886481E-02	59583
7.868960E-02	59883
7.841796E-02	60183
7.810770E-02	60483
7.773261E-02	60785
7.740255E-02	61085
7.693464E-02	61385
7.653600E-02	61685
7.619844E-02	61985
7.582217E-02	62285
7.538468E-02	62592
7.490225E-02	62892
7.439111E-02	63192
7.398422E-02	63492
7.344913E-02	63792
7.310957E-02	64092
7.281002E-02	64392
7.249939E-02	64692
7.227794E-02	64992
7.204404E-02	65292
7.182873E-02	65592
7.164109E-02	65892
7.155981E-02	66192
7.147112E-02	66492
7.147671E-02	66792
7.145389E-02	67092
7.145609E-02	67392
7.150783E-02	67692
7.153317E-02	67992
7.156384E-02	68292
7.160176E-02	68593
7.161920E-02	68893
7.163081E-02	69193
7.168117E-02	69493
7.166103E-02	69793
7.163589E-02	70093
7.157025E-02	70393
7.147638E-02	70693
7.139073E-02	70993
7.136508E-02	71293
7.131346E-02	71593
7.131556E-02	71893
7.130536E-02	72193
7.131767E-02	72493
7.131557E-02	72793
7.133798E-02	73093
7.135366E-02	73393
7.135089E-02	73693
7.140313E-02	73993
7.145566E-02	74293
7.153633E-02	74593
7.160176E-02	74893
7.164739E-02	75193
7.165962E-02	75493
7.163779E-02	75793
7.164145E-02	76093
7.162108E-02	76395
7.160343E-02	76695
7.156155E-02	76995
7.156423E-02	77295
7.153279E-02	77595
7.154097E-02	77895
7.152241E-02	78195
