S121C	2019-03-12 06:53:01
value unit [W]	time unit [ms]
wavelength	413.000nm
range	AUTO
4.355457E-02	0
4.353369E-02	299
4.351517E-02	599
4.349271E-02	899
4.346399E-02	1199
4.342870E-02	1499
4.339669E-02	1799
4.337327E-02	2099
4.335360E-02	2399
4.334937E-02	2699
4.334286E-02	2999
4.333947E-02	3299
4.333837E-02	3599
4.334038E-02	3899
4.334239E-02	4199
4.335180E-02	4499
4.336432E-02	4799
4.337449E-02	5099
4.338925E-02	5399
4.341618E-02	5699
4.344492E-02	5999
4.347153E-02	6299
4.349774E-02	6599
4.352785E-02	6901
4.355323E-02	7201
4.357850E-02	7501
4.360206E-02	7801
4.361301E-02	8101
4.361439E-02	8401
4.359559E-02	8701
4.357935E-02	9001
4.357290E-02	9301
4.357482E-02	9601
4.356641E-02	9901
4.356344E-02	10201
4.355394E-02	10501
4.354637E-02	10801
4.353692E-02	11101
4.351756E-02	11401
4.350339E-02	11701
4.348623E-02	12001
4.346725E-02	12301
4.344960E-02	12601
4.342810E-02	12901
4.341291E-02	13201
4.340049E-02	13501
4.339041E-02	13801
4.338935E-02	14101
4.338273E-02	14401
4.338000E-02	14703
4.337772E-02	15003
4.337743E-02	15303
4.337256E-02	15603
4.336963E-02	15903
4.336261E-02	16203
4.335265E-02	16503
4.334796E-02	16803
4.334726E-02	17103
4.334320E-02	17403
4.334348E-02	17703
4.334488E-02	18003
4.334657E-02	18303
4.334499E-02	18603
4.334598E-02	18903
4.334691E-02	19203
4.334833E-02	19503
4.335197E-02	19803
4.334747E-02	20103
4.335188E-02	20403
4.335009E-02	20703
4.335472E-02	21003
4.336405E-02	21303
4.336231E-02	21603
4.336815E-02	21903
4.337476E-02	22203
4.338459E-02	22504
4.339178E-02	22804
4.340092E-02	23104
4.341381E-02	23404
4.342955E-02	23704
4.344736E-02	24004
4.345653E-02	24304
4.346750E-02	24604
4.348039E-02	24904
4.349731E-02	25204
4.350135E-02	25504
4.351102E-02	25804
4.351441E-02	26104
4.352135E-02	26404
4.352518E-02	26704
4.352616E-02	27004
4.351584E-02	27304
4.350750E-02	27604
4.349201E-02	27904
4.348236E-02	28204
4.345890E-02	28504
4.343663E-02	28804
4.341270E-02	29104
4.339421E-02	29404
4.338408E-02	29704
4.337090E-02	30006
4.336382E-02	30306
4.336046E-02	30606
4.335678E-02	30906
4.336012E-02	31206
4.335703E-02	31681
4.335695E-02	31815
4.335542E-02	32115
4.336370E-02	32415
4.336755E-02	32715
4.337394E-02	33015
4.338581E-02	33315
4.340114E-02	33615
4.342055E-02	33915
4.343553E-02	34215
4.345737E-02	34515
4.347871E-02	34815
4.350723E-02	35115
4.354160E-02	35415
4.358511E-02	35715
4.362869E-02	36015
4.367035E-02	36315
4.371551E-02	36615
4.376980E-02	36915
4.383353E-02	37215
4.391012E-02	37515
4.400319E-02	37816
4.408608E-02	38116
4.420035E-02	38416
4.432650E-02	38716
4.444841E-02	39016
4.454960E-02	39316
4.466589E-02	39616
4.476804E-02	39916
4.485470E-02	40216
4.490014E-02	40516
4.491280E-02	40816
4.492123E-02	41116
4.491140E-02	41416
4.490262E-02	41716
4.491924E-02	42016
4.490549E-02	42316
4.488604E-02	42616
4.489340E-02	42916
4.488955E-02	43216
4.490526E-02	43516
4.492499E-02	43816
4.496090E-02	44116
4.500540E-02	44416
4.504279E-02	44716
4.508935E-02	45016
4.513937E-02	45316
4.522209E-02	45618
4.529883E-02	45918
4.541256E-02	46218
4.551678E-02	46518
4.563332E-02	46818
4.575324E-02	47118
4.583101E-02	47418
4.589528E-02	47718
4.590157E-02	48018
4.586720E-02	48318
4.581796E-02	48618
4.574383E-02	48918
4.565563E-02	49218
4.558304E-02	49518
4.552835E-02	49818
4.551232E-02	50118
4.547067E-02	50418
4.546298E-02	50718
4.544828E-02	51018
4.540725E-02	51318
4.536391E-02	51618
4.532457E-02	51918
4.529341E-02	52218
4.525550E-02	52518
4.523208E-02	52818
4.517768E-02	53122
4.511031E-02	53420
4.504469E-02	53722
4.498724E-02	54020
4.492038E-02	54322
4.489150E-02	54620
4.488632E-02	54922
4.489481E-02	55220
4.488469E-02	55522
4.487252E-02	55820
4.484360E-02	56122
4.482325E-02	56420
4.482182E-02	56722
4.480581E-02	57020
4.479499E-02	57322
4.475017E-02	57620
4.471090E-02	57922
4.465122E-02	58220
4.462257E-02	58522
4.455688E-02	58820
4.451371E-02	59122
4.445647E-02	59420
4.440580E-02	59722
4.437380E-02	60020
4.434238E-02	60322
4.431389E-02	60620
4.429218E-02	60922
4.425971E-02	61221
4.424167E-02	61522
4.422499E-02	61821
4.422936E-02	62122
4.422242E-02	62428
4.422791E-02	62728
4.421839E-02	63028
4.419415E-02	63328
4.416376E-02	63628
4.412458E-02	63928
4.409461E-02	64228
4.406677E-02	64528
4.404384E-02	64828
4.402407E-02	65128
4.402461E-02	65428
4.401831E-02	65728
4.404070E-02	66028
4.407125E-02	66328
4.408859E-02	66628
4.413095E-02	66928
4.416942E-02	67228
4.421454E-02	67528
4.428416E-02	67828
4.432361E-02	68128
4.439333E-02	68430
4.442361E-02	68730
4.445112E-02	69030
4.446610E-02	69330
4.448129E-02	69630
4.449558E-02	69930
4.451466E-02	70230
4.450912E-02	70530
4.448502E-02	70830
4.445228E-02	71130
4.440523E-02	71430
4.434552E-02	71730
4.427757E-02	72030
4.422102E-02	72330
4.417816E-02	72630
4.415281E-02	72930
4.413329E-02	73230
4.411482E-02	73530
4.412298E-02	73830
4.413347E-02	74130
4.416091E-02	74430
4.419540E-02	74730
4.420067E-02	75030
4.420683E-02	75330
4.419658E-02	75630
4.419829E-02	75930
4.420597E-02	76231
4.421372E-02	76531
4.422606E-02	76831
4.424552E-02	77131
4.425046E-02	77431
4.425903E-02	77731
4.424891E-02	78031
4.423647E-02	78331
4.423043E-02	78631
4.423313E-02	78931
4.424810E-02	79231
4.427131E-02	79531
4.427741E-02	79831
4.429199E-02	80131
4.430296E-02	80431
4.429444E-02	80731
4.429678E-02	81031
4.430296E-02	81331
4.428945E-02	81631
4.429328E-02	81931
4.427538E-02	82231
4.426460E-02	82531
4.427617E-02	82831
4.429026E-02	83131
4.433296E-02	83431
4.437517E-02	83731
4.445183E-02	84033
4.450271E-02	84333
4.458406E-02	84633
4.460407E-02	84933
4.464512E-02	85233
4.464368E-02	85533
4.465446E-02	85833
4.467367E-02	86133
4.468901E-02	86433
4.471252E-02	86733
4.473836E-02	87033
4.477264E-02	87333
4.480410E-02	87633
4.484125E-02	87933
4.488364E-02	88233
4.493571E-02	88533
4.497976E-02	88833
4.498807E-02	89133
4.501126E-02	89433
4.504527E-02	89733
4.505019E-02	90033
4.503831E-02	90333
4.503967E-02	90633
4.502858E-02	90933
4.502030E-02	91233
4.500951E-02	91535
4.500633E-02	91835
4.496895E-02	92135
4.493735E-02	92435
4.490779E-02	92735
4.489203E-02	93035
4.487047E-02	93341
4.484090E-02	93641
4.481519E-02	93941
4.478149E-02	94241
4.474697E-02	94541
4.473022E-02	94841
4.468537E-02	95141
4.462924E-02	95441
4.456862E-02	95741
4.451135E-02	96041
4.446131E-02	96341
4.441546E-02	96641
4.437203E-02	96941
4.432740E-02	97241
4.429184E-02	97541
4.426096E-02	97841
4.423260E-02	98141
4.421996E-02	98441
4.418622E-02	98741
4.417003E-02	99041
4.414549E-02	99343
4.412636E-02	99643
4.411047E-02	99943
4.408767E-02	100243
4.405151E-02	100543
4.403383E-02	100843
4.400209E-02	101143
4.398110E-02	101443
4.396016E-02	101743
4.394362E-02	102043
4.392746E-02	102343
4.391310E-02	102643
4.390452E-02	102943
4.389054E-02	103243
4.388395E-02	103543
4.386288E-02	103843
4.383027E-02	104143
4.379756E-02	104443
4.379662E-02	104743
4.379696E-02	105043
4.379020E-02	105343
4.377719E-02	105643
4.377776E-02	105943
4.377198E-02	106243
4.376176E-02	106544
4.374640E-02	106845
4.374652E-02	107144
4.373431E-02	107444
4.373302E-02	107744
4.374038E-02	108044
4.376953E-02	108344
4.378542E-02	108644
4.379680E-02	108944
4.382303E-02	109244
4.384641E-02	109544
4.385405E-02	109844
4.388922E-02	110144
4.392805E-02	110444
4.396546E-02	110744
4.400437E-02	111044
4.403011E-02	111344
4.405515E-02	111644
4.406092E-02	111944
4.406539E-02	112244
4.407526E-02	112544
4.409678E-02	112844
4.412662E-02	113144
4.416028E-02	113444
4.421362E-02	113744
4.425875E-02	114046
4.430907E-02	114346
4.436253E-02	114646
4.441882E-02	114946
4.448141E-02	115246
4.455684E-02	115546
4.459910E-02	115846
4.468388E-02	116146
4.473139E-02	116446
4.479026E-02	116746
4.484886E-02	117046
4.491070E-02	117346
4.494787E-02	117646
4.497253E-02	117946
4.500616E-02	118246
4.502157E-02	118546
4.501612E-02	118846
4.501800E-02	119146
4.500618E-02	119446
4.502810E-02	119746
4.505703E-02	120046
4.509148E-02	120346
4.512518E-02	120646
4.512294E-02	120946
4.509318E-02	121248
4.506446E-02	121548
4.502958E-02	121848
4.499495E-02	122148
4.496191E-02	122448
4.489833E-02	122748
4.483961E-02	123054
4.478278E-02	123354
4.472231E-02	123654
4.466030E-02	123954
4.461616E-02	124254
4.455667E-02	124554
4.453115E-02	124854
4.449032E-02	125154
4.448010E-02	125454
4.444249E-02	125754
4.442523E-02	126054
4.438369E-02	126354
4.432682E-02	126654
4.426662E-02	126954
4.419630E-02	127254
4.413996E-02	127554
4.409548E-02	127854
4.404843E-02	128154
4.399362E-02	128455
4.397433E-02	128755
4.395140E-02	129055
4.393954E-02	129355
4.391471E-02	129655
4.389376E-02	129955
4.387361E-02	130255
4.384748E-02	130555
4.382315E-02	130855
4.380675E-02	131155
4.379071E-02	131455
4.378127E-02	131755
4.375874E-02	132055
4.376472E-02	132355
4.373989E-02	132655
4.373532E-02	132955
4.373235E-02	133255
4.375072E-02	133555
4.376809E-02	133855
4.379290E-02	134155
4.378169E-02	134455
4.380389E-02	134755
4.381715E-02	135055
4.383323E-02	135355
4.384253E-02	135655
4.385133E-02	135957
4.385889E-02	136257
4.385913E-02	136557
4.384481E-02	136857
4.381869E-02	137157
4.379985E-02	137457
4.376480E-02	137757
4.374531E-02	138057
4.371456E-02	138357
4.370121E-02	138657
4.370154E-02	138957
4.370499E-02	139257
4.372787E-02	139557
4.372917E-02	139857
4.374577E-02	140157
4.376078E-02	140457
4.378380E-02	140757
4.379251E-02	141057
4.381085E-02	141357
4.383181E-02	141657
4.385370E-02	141957
4.386538E-02	142257
4.386974E-02	142557
4.387982E-02	142857
4.387238E-02	143159
4.384942E-02	143459
4.382400E-02	143759
4.380650E-02	144059
4.378242E-02	144359
4.375499E-02	144659
4.372709E-02	144959
4.368962E-02	145259
4.366902E-02	145559
4.363849E-02	145859
4.363148E-02	146159
4.360684E-02	146459
4.359214E-02	146759
4.356846E-02	147059
4.355425E-02	147359
4.353285E-02	147659
4.352513E-02	147959
4.351973E-02	148259
4.350709E-02	148559
4.349050E-02	148859
4.347093E-02	149159
4.344935E-02	149459
4.342967E-02	149759
4.340717E-02	150059
4.338633E-02	150359
4.337207E-02	150660
4.336029E-02	150960
4.335379E-02	151260
4.335039E-02	151560
4.334489E-02	151860
4.334373E-02	152160
4.334371E-02	152466
4.334530E-02	152766
4.334823E-02	153066
4.334414E-02	153366
4.334850E-02	153666
4.335259E-02	153966
4.335481E-02	154266
4.335416E-02	154566
4.335181E-02	154866
4.335541E-02	155166
4.335633E-02	155466
4.335500E-02	155766
4.336192E-02	156066
4.336220E-02	156366
4.337625E-02	156666
4.337759E-02	156966
4.338498E-02	157266
4.339554E-02	157566
4.341116E-02	157868
4.342854E-02	158168
4.344727E-02	158468
4.347445E-02	158768
4.349286E-02	159068
4.352267E-02	159368
4.354439E-02	159668
4.356899E-02	159968
4.359040E-02	160268
4.360139E-02	160568
4.362155E-02	160868
4.363346E-02	161168
4.363205E-02	161468
4.364004E-02	161768
4.363407E-02	162068
4.364432E-02	162368
4.366334E-02	162668
4.368199E-02	162968
4.372162E-02	163268
4.376259E-02	163568
4.380444E-02	163868
4.385864E-02	164168
4.388105E-02	164468
4.391221E-02	164768
4.393519E-02	165069
4.395783E-02	165369
4.396325E-02	165669
4.397021E-02	165969
4.397177E-02	166269
4.398378E-02	166569
4.397878E-02	166869
4.399450E-02	167169
4.398873E-02	167469
4.399305E-02	167769
4.401536E-02	168069
4.402181E-02	168369
4.401260E-02	168669
4.398786E-02	168969
4.397431E-02	169269
4.396081E-02	169569
4.393915E-02	169869
4.394194E-02	170169
4.397442E-02	170469
4.400799E-02	170769
4.405655E-02	171069
4.412926E-02	171369
4.420695E-02	171669
4.428039E-02	171969
4.436257E-02	172269
4.442811E-02	172571
4.449469E-02	172871
4.457057E-02	173171
4.463374E-02	173471
4.467600E-02	173771
4.470469E-02	174071
4.473324E-02	174371
4.474436E-02	174671
4.475469E-02	174971
4.473105E-02	175271
4.472394E-02	175571
4.472255E-02	175871
4.470803E-02	176171
4.472579E-02	176471
4.472815E-02	176771
4.476213E-02	177071
4.476162E-02	177371
4.479261E-02	177671
4.482459E-02	177971
4.485949E-02	178271
4.486330E-02	178571
4.491071E-02	178871
4.493362E-02	179171
4.495985E-02	179471
4.498060E-02	179773
4.498469E-02	180073
4.498759E-02	180373
4.498047E-02	180673
4.500455E-02	180973
4.502938E-02	181273
4.505967E-02	181573
4.510797E-02	181879
4.515026E-02	182179
