S121C	2019-03-14 09:19:55
value unit [W]	time unit [ms]
wavelength	413.000nm
range	AUTO
1.877450E-07	55
4.700425E-04	727
4.721829E-04	1027
4.746807E-04	1327
4.776215E-04	1627
4.798402E-04	1927
4.819020E-04	2227
4.842320E-04	2527
4.862823E-04	2827
4.883551E-04	3127
4.824246E-04	3427
4.837307E-04	3727
4.866780E-04	4027
4.879533E-04	4327
4.852522E-04	4627
4.823706E-04	4927
4.829333E-04	5227
4.856236E-04	5527
4.841609E-04	5827
4.850772E-04	6127
4.818915E-04	6427
4.862209E-04	6727
4.832186E-04	7027
4.806180E-04	7327
4.811012E-04	7627
4.804328E-04	7927
4.834350E-04	8227
4.807826E-04	8527
4.838237E-04	8827
4.842233E-04	9127
4.798440E-04	9427
4.801195E-04	9727
4.820808E-04	10027
4.849433E-04	10327
4.806814E-04	10627
4.867224E-04	10927
4.874587E-04	11227
4.860256E-04	11527
4.826163E-04	11827
4.825887E-04	12127
4.835086E-04	12427
4.850567E-04	12727
4.855224E-04	13027
4.855575E-04	13327
4.803936E-04	13627
4.797096E-04	13927
4.865206E-04	14227
4.877680E-04	14527
4.852800E-04	14827
4.902352E-04	15129
4.904002E-04	15429
4.876892E-04	15729
4.895889E-04	16029
4.887866E-04	16329
4.884803E-04	16629
4.887302E-04	16929
4.846964E-04	17229
4.891730E-04	17529
4.909565E-04	17829
4.911434E-04	18129
4.885116E-04	18429
4.872942E-04	18729
4.846031E-04	19029
4.820780E-04	19329
4.789831E-04	19629
4.763073E-04	19929
4.728216E-04	20229
4.691673E-04	20529
4.647707E-04	20829
4.603591E-04	21129
4.567950E-04	21429
4.532224E-04	21729
4.493001E-04	22029
4.454625E-04	22329
4.423062E-04	22631
4.394519E-04	22931
4.375786E-04	23231
4.350161E-04	23531
4.327969E-04	23831
4.308599E-04	24131
4.295367E-04	24431
4.280219E-04	24731
4.273784E-04	25031
4.262963E-04	25331
4.256994E-04	25631
4.248372E-04	25931
4.241467E-04	26231
4.235746E-04	26531
4.228904E-04	26831
4.221611E-04	27131
4.213301E-04	27431
4.209555E-04	27731
4.204168E-04	28031
4.200675E-04	28331
4.198559E-04	28631
4.197532E-04	28931
4.196133E-04	29231
4.195691E-04	29531
4.192673E-04	29831
4.192907E-04	30131
4.188773E-04	30433
4.185093E-04	30733
4.179667E-04	31033
4.176308E-04	31333
4.171056E-04	31633
4.166417E-04	31940
4.164201E-04	32241
4.163595E-04	32541
4.162503E-04	32841
4.161600E-04	33141
4.159980E-04	33441
4.159916E-04	33741
4.158910E-04	34041
4.159188E-04	34341
4.158569E-04	34641
4.158625E-04	34941
4.159162E-04	35241
4.159629E-04	35541
4.159278E-04	35841
4.160235E-04	36141
4.159241E-04	36441
4.158972E-04	36741
4.159347E-04	37041
4.157194E-04	37341
4.157000E-04	37641
4.155429E-04	37941
4.153316E-04	38243
4.152385E-04	38543
4.151184E-04	38843
4.151833E-04	39143
4.155645E-04	39443
4.158285E-04	39743
4.160755E-04	40043
4.166843E-04	40343
4.173121E-04	40643
4.182073E-04	40943
4.197200E-04	41243
4.215043E-04	41543
4.229226E-04	41843
4.247699E-04	42143
4.269119E-04	42443
4.296027E-04	42743
4.325212E-04	43043
4.351395E-04	43343
4.376401E-04	43643
4.405680E-04	43943
4.434103E-04	44243
4.469083E-04	44543
4.498724E-04	44843
4.521100E-04	45143
4.545303E-04	45443
4.561557E-04	45745
4.576890E-04	46045
4.586648E-04	46345
4.598161E-04	46645
4.611756E-04	46945
4.626176E-04	47245
4.648132E-04	47545
4.662871E-04	47845
4.679147E-04	48145
4.696215E-04	48445
4.708428E-04	48745
4.719482E-04	49045
4.738608E-04	49345
4.753144E-04	49645
4.769729E-04	49945
4.785913E-04	50245
4.789421E-04	50545
4.795485E-04	50845
4.790066E-04	51145
4.789149E-04	51445
4.786254E-04	51745
4.789591E-04	52045
4.792046E-04	52345
4.797037E-04	52645
4.807631E-04	52945
4.816739E-04	53245
4.828448E-04	53546
4.848507E-04	53846
4.872892E-04	54146
4.887574E-04	54446
4.890590E-04	54746
4.887909E-04	55046
4.891643E-04	55346
4.890894E-04	55646
4.889492E-04	55946
4.853624E-04	56246
4.884477E-04	56546
4.859892E-04	56846
4.834282E-04	57146
4.879924E-04	57446
4.841507E-04	57746
4.865913E-04	58046
4.895917E-04	58346
4.920491E-04	58646
4.899433E-04	58946
4.887445E-04	59246
4.866107E-04	59546
4.886278E-04	59846
4.884821E-04	60146
4.885761E-04	60446
4.883718E-04	60746
4.887411E-04	61048
4.895404E-04	61348
4.882177E-04	61648
4.902361E-04	61948
4.910905E-04	62248
4.886528E-04	62548
4.856509E-04	62854
4.875552E-04	63154
4.868247E-04	63454
4.859008E-04	63754
4.805623E-04	64054
4.835576E-04	64354
4.840434E-04	64654
4.841213E-04	64954
4.849157E-04	65254
4.848920E-04	65554
4.848364E-04	65854
4.839530E-04	66154
4.806926E-04	66454
4.792023E-04	66754
4.781527E-04	67054
4.739849E-04	67354
4.748024E-04	67654
4.760416E-04	67954
4.761551E-04	68254
4.730221E-04	68554
4.719956E-04	68856
4.736681E-04	69156
4.686415E-04	69456
4.702206E-04	69756
4.709802E-04	70056
4.710125E-04	70356
4.674038E-04	70656
4.669319E-04	70956
4.705732E-04	71256
4.671145E-04	71556
4.702446E-04	71856
4.733245E-04	72156
4.707502E-04	72456
4.739332E-04	72756
4.724606E-04	73056
4.740679E-04	73356
4.710567E-04	73656
4.714940E-04	73956
4.699657E-04	74256
4.722535E-04	74556
4.746236E-04	74856
4.715003E-04	75156
4.713908E-04	75456
4.689882E-04	75756
4.701831E-04	76056
4.707450E-04	76356
4.712586E-04	76657
4.689016E-04	76957
4.697174E-04	77257
4.696353E-04	77557
4.653221E-04	77857
4.630258E-04	78157
4.664098E-04	78457
4.655993E-04	78757
4.700004E-04	79058
4.671958E-04	79357
4.712862E-04	79657
4.694393E-04	79957
4.714234E-04	80257
4.663712E-04	80557
4.636129E-04	80857
4.661589E-04	81157
4.672128E-04	81457
4.669669E-04	81757
4.685425E-04	82057
4.707764E-04	82357
4.743587E-04	82657
4.694261E-04	82957
4.722271E-04	83257
4.674362E-04	83557
4.707609E-04	83857
4.715875E-04	84159
4.662730E-04	84459
4.724102E-04	84759
4.753906E-04	85059
4.749165E-04	85359
4.700951E-04	85659
4.714246E-04	85959
4.728243E-04	86259
4.778676E-04	86559
4.795812E-04	86859
4.796935E-04	87159
4.805811E-04	87459
4.789619E-04	87759
4.768803E-04	88059
4.791141E-04	88359
4.816293E-04	88659
4.808285E-04	88959
4.801909E-04	89259
4.836346E-04	89559
4.842445E-04	89859
4.821902E-04	90159
4.833664E-04	90459
4.789693E-04	90759
4.827612E-04	91059
4.811304E-04	91359
4.833481E-04	91659
4.867614E-04	91961
4.887482E-04	92261
4.903828E-04	92561
4.899279E-04	92861
4.873818E-04	93161
4.838755E-04	93461
4.884595E-04	93769
4.843579E-04	94068
4.863317E-04	94369
4.824125E-04	94668
4.851245E-04	94969
4.852745E-04	95268
4.875248E-04	95570
4.859951E-04	95868
4.845212E-04	96169
4.871708E-04	96468
4.880915E-04	96769
4.860864E-04	97068
4.874016E-04	97369
4.869023E-04	97668
4.850933E-04	97969
4.851388E-04	98268
4.872869E-04	98570
4.861640E-04	98868
4.859535E-04	99169
4.835483E-04	99469
4.860410E-04	99769
4.846098E-04	100069
4.848970E-04	100369
4.834892E-04	100669
4.834554E-04	100969
4.832688E-04	101269
4.825760E-04	101570
4.817549E-04	101869
4.822582E-04	102169
4.825953E-04	102469
4.823652E-04	102769
4.843039E-04	103069
4.846370E-04	103369
4.854467E-04	103669
4.878312E-04	103969
4.886299E-04	104269
4.868546E-04	104570
4.889191E-04	104869
4.867196E-04	105169
4.876904E-04	105469
4.859421E-04	105769
4.858657E-04	106069
4.861789E-04	106369
4.874324E-04	106669
4.921774E-04	106971
4.894916E-04	107271
4.910756E-04	107571
4.903075E-04	107871
4.851171E-04	108171
4.797791E-04	108471
4.820716E-04	108771
4.809309E-04	109071
4.820951E-04	109371
4.788794E-04	109671
4.788706E-04	109971
4.804245E-04	110271
4.751846E-04	110571
4.768044E-04	110871
4.766907E-04	111171
4.750643E-04	111471
4.724829E-04	111771
4.739073E-04	112071
4.714980E-04	112371
4.718388E-04	112671
4.716901E-04	112971
4.688001E-04	113271
4.654439E-04	113571
4.654943E-04	113871
4.676458E-04	114173
4.650962E-04	114473
4.655216E-04	114773
4.610167E-04	115073
4.621446E-04	115373
4.562550E-04	115673
4.574506E-04	115973
4.535939E-04	116273
4.526297E-04	116573
4.458610E-04	116873
4.404429E-04	117173
4.422856E-04	117473
4.408993E-04	117773
4.401752E-04	118073
4.351574E-04	118373
4.343465E-04	118673
4.361319E-04	118973
4.325989E-04	119273
4.333492E-04	119573
4.344223E-04	119873
4.262161E-04	120173
4.300728E-04	120473
4.366730E-04	120773
4.370217E-04	121073
4.291895E-04	121373
4.313808E-04	121674
4.334509E-04	121974
4.317118E-04	122274
4.321798E-04	122574
4.318334E-04	122874
4.327200E-04	123174
4.327220E-04	123481
4.299967E-04	123781
4.329178E-04	124081
4.299737E-04	124381
4.296018E-04	124681
4.305846E-04	124981
4.266436E-04	125281
4.290204E-04	125581
4.298320E-04	125881
4.316109E-04	126181
4.296899E-04	126481
4.309246E-04	126781
4.301705E-04	127081
4.299225E-04	127381
4.284623E-04	127681
4.282209E-04	127981
4.293234E-04	128281
4.304525E-04	128581
4.308021E-04	128883
4.296290E-04	129183
4.265905E-04	129483
4.278474E-04	129783
4.282336E-04	130083
4.277839E-04	130383
4.270917E-04	130683
4.242204E-04	130983
4.210684E-04	131283
4.285956E-04	131583
4.287804E-04	131883
4.269555E-04	132183
4.304514E-04	132483
4.335808E-04	132783
4.287353E-04	133083
4.328720E-04	133383
4.325933E-04	133683
4.328950E-04	133983
4.336298E-04	134283
4.306177E-04	134583
4.309575E-04	134883
4.315009E-04	135183
4.327114E-04	135483
4.312126E-04	135783
4.322351E-04	136085
4.326307E-04	136385
4.309461E-04	136685
4.332109E-04	136985
4.319027E-04	137285
4.281040E-04	137585
4.296767E-04	137885
4.293626E-04	138185
4.293129E-04	138485
4.297771E-04	138785
4.299372E-04	139085
4.282911E-04	139385
4.263111E-04	139685
4.273879E-04	139985
4.266942E-04	140285
4.252244E-04	140585
4.333679E-04	140885
4.280368E-04	141185
4.305860E-04	141485
4.291300E-04	141785
4.276786E-04	142085
4.272088E-04	142385
4.304306E-04	142685
4.314732E-04	142985
4.284463E-04	143285
4.286896E-04	143586
4.309231E-04	143886
4.289808E-04	144186
4.306076E-04	144486
4.285984E-04	144786
4.305824E-04	145086
4.294343E-04	145386
4.321898E-04	145686
4.328566E-04	145986
4.339879E-04	146286
4.333432E-04	146586
4.332140E-04	146886
4.319989E-04	147186
4.315314E-04	147486
4.304132E-04	147786
4.324158E-04	148086
4.333383E-04	148386
4.325910E-04	148686
4.277670E-04	148986
4.288966E-04	149286
4.290617E-04	149586
4.313365E-04	149886
4.321242E-04	150186
4.332395E-04	150486
4.302773E-04	150788
4.329196E-04	151088
4.326713E-04	151388
4.318507E-04	151688
4.309860E-04	151988
4.315590E-04	152288
4.343544E-04	152588
4.332325E-04	152895
4.316835E-04	153195
4.308156E-04	153495
4.330451E-04	153795
4.351331E-04	154095
4.328924E-04	154395
4.306585E-04	154695
4.351611E-04	154995
4.327990E-04	155295
4.314209E-04	155595
4.366284E-04	155895
4.326823E-04	156195
4.324127E-04	156495
4.322484E-04	156795
4.345495E-04	157095
4.321832E-04	157395
4.303651E-04	157695
4.360439E-04	157995
4.357607E-04	158297
4.333253E-04	158597
4.332388E-04	158897
4.343238E-04	159197
4.321662E-04	159497
4.340883E-04	159797
4.348820E-04	160097
4.339155E-04	160397
4.322103E-04	160697
4.322137E-04	160997
4.322386E-04	161297
4.312100E-04	161597
4.337179E-04	161897
4.366688E-04	162197
4.319596E-04	162497
4.257546E-04	162797
4.288938E-04	163097
4.330394E-04	163397
4.307882E-04	163697
4.277941E-04	163997
4.301965E-04	164297
4.317466E-04	164597
4.288413E-04	164897
4.284870E-04	165197
4.334101E-04	165499
4.323926E-04	165799
4.276347E-04	166099
4.234758E-04	166399
4.263296E-04	166699
4.285960E-04	166999
4.274723E-04	167299
4.285379E-04	167599
4.272730E-04	167899
4.320454E-04	168199
4.305455E-04	168499
4.295039E-04	168799
4.306693E-04	169099
4.287585E-04	169399
4.299978E-04	169699
4.293795E-04	169999
4.283840E-04	170299
4.287942E-04	170599
4.268686E-04	170899
4.292061E-04	171199
4.289953E-04	171499
4.300861E-04	171799
4.301759E-04	172099
4.317391E-04	172399
4.300777E-04	172700
4.291362E-04	173000
4.317428E-04	173300
4.247221E-04	173600
4.281013E-04	173900
4.315924E-04	174200
4.362644E-04	174500
4.326695E-04	174800
4.350118E-04	175100
4.331234E-04	175400
4.291668E-04	175700
4.330022E-04	176000
4.345738E-04	176300
4.353650E-04	176600
4.367568E-04	176900
4.364070E-04	177200
4.376261E-04	177500
4.377603E-04	177800
4.397115E-04	178100
4.367573E-04	178400
4.366384E-04	178700
4.364710E-04	179000
4.386026E-04	179300
4.394362E-04	179600
4.363511E-04	179900
4.377334E-04	180202
4.346145E-04	180502
4.388192E-04	180802
4.357683E-04	181102
4.370003E-04	181402
4.361963E-04	181702
4.395847E-04	182002
4.408194E-04	182309
4.378001E-04	182609
